Numéro de station OMM,Date et heure d'observation,Direction du vent (degrés),Vitesse du vent moyen 10mn,Humidité relative (%),Visibilité horizontale (m),Nebulosité totale,Hauteur base nuages (m),Pression au niveau station,Rafale 10 dernières minutes,Précipitations 24h (mm),Nom de la station,Température (°C),T° min 24h (°C),T° max 24h (°C),Latitude,Longitude,Altitude (m),Libellé géographique,Nom département,Code département,Nom région,Code région,Mois de l'année,distance_km_poitiers
07335,2025-05-31T09:00:00+00:00,190.0,6.2,76.0,32110.0,0,3840.0,100490.0,9.4,0.0,POITIERS-BIARD,21.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,5,2.500087253165825
07335,2025-06-01T00:00:00+00:00,220.0,3.7,96.0,10590.0,0,,100480.0,5.9,0.0,POITIERS-BIARD,15.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-01T21:00:00+00:00,240.0,3.0,83.0,54730.0,0,5580.0,100430.0,4.3,0.0,POITIERS-BIARD,15.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-04T03:00:00+00:00,220.0,2.8,97.0,19080.0,0,4140.0,99760.0,3.9,0.0,POITIERS-BIARD,10.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-04T09:00:00+00:00,220.0,7.6,77.0,60000.0,0,450.0,99710.0,10.6,-0.1,POITIERS-BIARD,17.700000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-09T12:00:00+00:00,110.0,1.7,39.0,55860.0,0,,100910.0,3.6,0.2,POITIERS-BIARD,24.30000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-09T15:00:00+00:00,70.0,3.0,37.0,19500.0,0,,100760.0,6.7,0.2,POITIERS-BIARD,26.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-11T18:00:00+00:00,60.0,2.5,38.0,20000.0,0,4860.0,99750.0,4.3,0.0,POITIERS-BIARD,29.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-13T12:00:00+00:00,90.0,3.6,47.0,19830.0,0,7560.0,100130.0,7.3,0.0,POITIERS-BIARD,31.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-04T21:00:00+00:00,220.0,3.7,90.0,60000.0,0,1750.0,100050.0,5.0,0.6,POITIERS-BIARD,12.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-08T06:00:00+00:00,300.0,3.8,89.0,19110.0,0,,100690.0,6.2,1.0,POITIERS-BIARD,13.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-05-31T06:00:00+00:00,180.0,3.3,74.0,47960.0,0,1750.0,100380.0,5.0,0.0,POITIERS-BIARD,21.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,5,2.500087253165825
07335,2025-06-09T06:00:00+00:00,360.0,0.8,90.0,19850.0,0,,100960.0,1.1,0.2,POITIERS-BIARD,11.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-09T09:00:00+00:00,100.0,2.5,54.0,60000.0,0,,100970.0,4.8,0.2,POITIERS-BIARD,20.30000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-11T09:00:00+00:00,70.0,3.4,48.0,18940.0,0,,100200.0,6.2,0.0,POITIERS-BIARD,25.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-12T15:00:00+00:00,230.0,3.7,58.0,18860.0,0,1250.0,100030.0,6.4,1.6,POITIERS-BIARD,26.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-13T00:00:00+00:00,340.0,2.5,80.0,57460.0,0,,100300.0,3.4,1.6,POITIERS-BIARD,18.30000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-03T18:00:00+00:00,230.0,5.9,56.0,60000.0,0,2250.0,99890.0,8.0,0.0,POITIERS-BIARD,19.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-08T03:00:00+00:00,250.0,3.6,94.0,19380.0,0,1750.0,100470.0,5.6,1.0,POITIERS-BIARD,13.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-13T06:00:00+00:00,30.0,3.1,76.0,50890.0,0,,100370.0,5.1,-0.1,POITIERS-BIARD,19.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
